37, 'http://v.17173.com/lol/bs/index.shtml', 'v.17173.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
38, 'http://v.17173.com/lol/gs/index.shtml', 'v.17173.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
39, 'http://v.17173.com/lol/jj/index.shtml', 'v.17173.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
40, 'http://v.17173.com/lol/hero/jwyh/index.shtml', 'v.17173.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
41, 'http://v.17173.com/list-index.html?pac=901&ac=3359017&v=2&page=1', 'v.17173.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
42, 'http://v.17173.com/list-index.html?pac=901&ac=3359037&v=2&page=1', 'v.17173.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
43, 'http://v.17173.com/list-index.html?pac=901&ac=3359047&v=2&page=1', 'v.17173.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
44, 'http://v.qq.com/games/list/502_50201/626_0_0/1_0.html', 'v.qq.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
45, 'http://v.qq.com/cover/6/6f0aqud17kkdymg.html', 'v.qq.com', '英雄联盟', '', '', ' 需要特殊分析一下', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
46, 'http://lol.aipai.com/', 'lol.aipai.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
47, 'http://apg.aipai.com/', 'apg.aipai.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
48, 'http://www.aipai.com/huodong/2013/apg/index.php?action=videos&page=1', 'www.aipai.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
49, 'http://www.aipai.com/ext/customZone_action-card_gameId-25296_id-6858_total-1931_page-1.html', 'www.aipai.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
50, 'http://www.aipai.com/ext/customZone_action-card_gameId-25296_id-6616_total-406_page-1.html', 'www.aipai.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
51, 'http://www.aipai.com/ext/customZone_action-card_gameId-25296_id-6865_total-182_page-1.html', 'www.aipai.com', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
52, 'http://lol.gamefy.cn/', 'lol.gamefy.cn', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
53, 'http://v.gamefy.cn/lists/c22_p1.html', 'v.gamefy.cn', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
54, 'http://v.gamefy.cn/lists/tag?name=%E8%8B%B1%E9%9B%84%E8%81%94%E7%9B%9F&page=1', 'v.gamefy.cn', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
55, 'http://v.gamefy.cn/lists/tag?name=LOL', 'v.gamefy.cn', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
56, 'http://www.gamefy.cn/vlist.php?id=1&top=-1&time=&page=1&tags=LOL', 'www.gamefy.cn', '英雄联盟', '', '', '', 'list', 0, 0, 1, 'testuser', '2014-07-01 00:00:00', 'done');
